AREA,FORECAST,DATE,TIME,Count
Ang Mo Kio,Fair (Night),2024-03-15,00:00:00,136
Bedok,Fair (Night),2024-03-15,00:00:00,211
Bishan,Fair (Night),2024-03-15,00:00:00,70
Boon Lay,Fair (Night),2024-03-15,00:00:00,5
Bukit Batok,Fair (Night),2024-03-15,00:00:00,129
Bukit Merah,Fair (Night),2024-03-15,00:00:00,160
Bukit Panjang,Fair (Night),2024-03-15,00:00:00,112
Bukit Timah,Fair (Night),2024-03-15,00:00:00,87
Central Water Catchment,Fair (Night),2024-03-15,00:00:00,5
Changi,Fair (Night),2024-03-15,00:00:00,1022
Choa Chu Kang,Fair (Night),2024-03-15,00:00:00,129
City,Fair (Night),2024-03-15,00:00:00,401
Clementi,Fair (Night),2024-03-15,00:00:00,128
Geylang,Fair (Night),2024-03-15,00:00:00,245
Hougang,Fair (Night),2024-03-15,00:00:00,110
Jalan Bahar,Fair (Night),2024-03-15,00:00:00,9
Jurong East,Fair (Night),2024-03-15,00:00:00,101
Jurong Island,Fair (Night),2024-03-15,00:00:00,1
Jurong West,Fair (Night),2024-03-15,00:00:00,155
Kallang,Fair (Night),2024-03-15,00:00:00,263
Mandai,Fair (Night),2024-03-15,00:00:00,24
Marine Parade,Fair (Night),2024-03-15,00:00:00,28
Novena,Fair (Night),2024-03-15,00:00:00,93
Pasir Ris,Fair (Night),2024-03-15,00:00:00,177
Paya Lebar,Fair (Night),2024-03-15,00:00:00,46
Pioneer,Fair (Night),2024-03-15,00:00:00,43
Pulau Ubin,Fair (Night),2024-03-15,00:00:00,9
Punggol,Fair (Night),2024-03-15,00:00:00,151
Queenstown,Fair (Night),2024-03-15,00:00:00,130
Seletar,Fair (Night),2024-03-15,00:00:00,71
Sembawang,Fair (Night),2024-03-15,00:00:00,138
Sengkang,Fair (Night),2024-03-15,00:00:00,164
Sentosa,Fair (Night),2024-03-15,00:00:00,9
Serangoon,Fair (Night),2024-03-15,00:00:00,185
Sungei Kadut,Fair (Night),2024-03-15,00:00:00,94
Tampines,Fair (Night),2024-03-15,00:00:00,239
Tanglin,Fair (Night),2024-03-15,00:00:00,46
Tengah,Fair (Night),2024-03-15,00:00:00,16
Toa Payoh,Fair (Night),2024-03-15,00:00:00,166
Tuas,Fair (Night),2024-03-15,00:00:00,6
Woodlands,Fair (Night),2024-03-15,00:00:00,219
Yishun,Fair (Night),2024-03-15,00:00:00,173
Ang Mo Kio,Fair (Night),2024-03-15,01:00:00,134
Bedok,Fair (Night),2024-03-15,01:00:00,233
Bishan,Fair (Night),2024-03-15,01:00:00,77
Boon Lay,Fair (Night),2024-03-15,01:00:00,9
Bukit Batok,Fair (Night),2024-03-15,01:00:00,166
Bukit Merah,Fair (Night),2024-03-15,01:00:00,171
Bukit Panjang,Fair (Night),2024-03-15,01:00:00,114
Bukit Timah,Fair (Night),2024-03-15,01:00:00,81
Central Water Catchment,Fair (Night),2024-03-15,01:00:00,8
Changi,Fair (Night),2024-03-15,01:00:00,638
Choa Chu Kang,Fair (Night),2024-03-15,01:00:00,132
City,Fair (Night),2024-03-15,01:00:00,566
Clementi,Fair (Night),2024-03-15,01:00:00,131
Geylang,Fair (Night),2024-03-15,01:00:00,378
Hougang,Fair (Night),2024-03-15,01:00:00,129
Jalan Bahar,Fair (Night),2024-03-15,01:00:00,6
Jurong East,Fair (Night),2024-03-15,01:00:00,106
