AREA,FORECAST,DATE,TIME,Count
Ang Mo Kio,Fair (Night),2024-03-15,00:14:45,42
Bedok,Fair (Night),2024-03-15,00:14:45,57
Bishan,Fair (Night),2024-03-15,00:14:45,22
Boon Lay,Fair (Night),2024-03-15,00:14:45,1
Bukit Batok,Fair (Night),2024-03-15,00:14:45,30
Bukit Merah,Fair (Night),2024-03-15,00:14:45,48
Bukit Panjang,Fair (Night),2024-03-15,00:14:45,27
Bukit Timah,Fair (Night),2024-03-15,00:14:45,16
Changi,Fair (Night),2024-03-15,00:14:45,295
Choa Chu Kang,Fair (Night),2024-03-15,00:14:45,45
City,Fair (Night),2024-03-15,00:14:45,127
Clementi,Fair (Night),2024-03-15,00:14:45,43
Geylang,Fair (Night),2024-03-15,00:14:45,60
Hougang,Fair (Night),2024-03-15,00:14:45,25
Jalan Bahar,Fair (Night),2024-03-15,00:14:45,1
Jurong East,Fair (Night),2024-03-15,00:14:45,28
Jurong West,Fair (Night),2024-03-15,00:14:45,49
Kallang,Fair (Night),2024-03-15,00:14:45,73
Mandai,Fair (Night),2024-03-15,00:14:45,7
Marine Parade,Fair (Night),2024-03-15,00:14:45,7
Novena,Fair (Night),2024-03-15,00:14:45,28
Pasir Ris,Fair (Night),2024-03-15,00:14:45,54
Paya Lebar,Fair (Night),2024-03-15,00:14:45,14
Pioneer,Fair (Night),2024-03-15,00:14:45,9
Pulau Ubin,Fair (Night),2024-03-15,00:14:45,3
Punggol,Fair (Night),2024-03-15,00:14:45,49
Queenstown,Fair (Night),2024-03-15,00:14:45,25
Seletar,Fair (Night),2024-03-15,00:14:45,17
Sembawang,Fair (Night),2024-03-15,00:14:45,43
Sengkang,Fair (Night),2024-03-15,00:14:45,43
Sentosa,Fair (Night),2024-03-15,00:14:45,2
Serangoon,Fair (Night),2024-03-15,00:14:45,55
Sungei Kadut,Fair (Night),2024-03-15,00:14:45,29
Tampines,Fair (Night),2024-03-15,00:14:45,68
Tanglin,Fair (Night),2024-03-15,00:14:45,13
Tengah,Fair (Night),2024-03-15,00:14:45,3
Toa Payoh,Fair (Night),2024-03-15,00:14:45,55
Tuas,Fair (Night),2024-03-15,00:14:45,4
Woodlands,Fair (Night),2024-03-15,00:14:45,64
Yishun,Fair (Night),2024-03-15,00:14:45,48
Ang Mo Kio,Fair (Night),2024-03-15,00:29:46,28
Bedok,Fair (Night),2024-03-15,00:29:46,58
Bishan,Fair (Night),2024-03-15,00:29:46,15
Boon Lay,Fair (Night),2024-03-15,00:29:46,2
Bukit Batok,Fair (Night),2024-03-15,00:29:46,33
Bukit Merah,Fair (Night),2024-03-15,00:29:46,36
Bukit Panjang,Fair (Night),2024-03-15,00:29:46,25
Bukit Timah,Fair (Night),2024-03-15,00:29:46,22
Central Water Catchment,Fair (Night),2024-03-15,00:29:46,1
Changi,Fair (Night),2024-03-15,00:29:46,277
Choa Chu Kang,Fair (Night),2024-03-15,00:29:46,17
City,Fair (Night),2024-03-15,00:29:46,93
Clementi,Fair (Night),2024-03-15,00:29:46,26
Geylang,Fair (Night),2024-03-15,00:29:46,53
Hougang,Fair (Night),2024-03-15,00:29:46,32
Jalan Bahar,Fair (Night),2024-03-15,00:29:46,4
Jurong East,Fair (Night),2024-03-15,00:29:46,29
Jurong Island,Fair (Night),2024-03-15,00:29:46,1
Jurong West,Fair (Night),2024-03-15,00:29:46,31
Kallang,Fair (Night),2024-03-15,00:29:46,59
Mandai,Fair (Night),2024-03-15,00:29:46,6
Marine Parade,Fair (Night),2024-03-15,00:29:46,3
Novena,Fair (Night),2024-03-15,00:29:46,21
Pasir Ris,Fair (Night),2024-03-15,00:29:46,37
Paya Lebar,Fair (Night),2024-03-15,00:29:46,9
Pioneer,Fair (Night),2024-03-15,00:29:46,11
Pulau Ubin,Fair (Night),2024-03-15,00:29:46,4
Punggol,Fair (Night),2024-03-15,00:29:46,33
Queenstown,Fair (Night),2024-03-15,00:29:46,39
Seletar,Fair (Night),2024-03-15,00:29:46,18
Sembawang,Fair (Night),2024-03-15,00:29:46,23
Sengkang,Fair (Night),2024-03-15,00:29:46,41
Sentosa,Fair (Night),2024-03-15,00:29:46,1
Serangoon,Fair (Night),2024-03-15,00:29:46,59
Sungei Kadut,Fair (Night),2024-03-15,00:29:46,23
Tampines,Fair (Night),2024-03-15,00:29:46,73
Tanglin,Fair (Night),2024-03-15,00:29:46,8
Tengah,Fair (Night),2024-03-15,00:29:46,3
Toa Payoh,Fair (Night),2024-03-15,00:29:46,39
Tuas,Fair (Night),2024-03-15,00:29:46,1
Woodlands,Fair (Night),2024-03-15,00:29:46,42
Yishun,Fair (Night),2024-03-15,00:29:46,36
Ang Mo Kio,Fair (Night),2024-03-15,00:44:47,43
Bedok,Fair (Night),2024-03-15,00:44:47,55
Bishan,Fair (Night),2024-03-15,00:44:47,20
Bukit Batok,Fair (Night),2024-03-15,00:44:47,36
Bukit Merah,Fair (Night),2024-03-15,00:44:47,54
Bukit Panjang,Fair (Night),2024-03-15,00:44:47,44
Bukit Timah,Fair (Night),2024-03-15,00:44:47,32
Central Water Catchment,Fair (Night),2024-03-15,00:44:47,3
Changi,Fair (Night),2024-03-15,00:44:47,277
Choa Chu Kang,Fair (Night),2024-03-15,00:44:47,47
City,Fair (Night),2024-03-15,00:44:47,98
Clementi,Fair (Night),2024-03-15,00:44:47,37
Geylang,Fair (Night),2024-03-15,00:44:47,83
Hougang,Fair (Night),2024-03-15,00:44:47,33
Jalan Bahar,Fair (Night),2024-03-15,00:44:47,2
Jurong East,Fair (Night),2024-03-15,00:44:47,29
Jurong West,Fair (Night),2024-03-15,00:44:47,53
Kallang,Fair (Night),2024-03-15,00:44:47,81
Mandai,Fair (Night),2024-03-15,00:44:47,2
Marine Parade,Fair (Night),2024-03-15,00:44:47,9
Novena,Fair (Night),2024-03-15,00:44:47,22
Pasir Ris,Fair (Night),2024-03-15,00:44:47,61
Paya Lebar,Fair (Night),2024-03-15,00:44:47,11
Pioneer,Fair (Night),2024-03-15,00:44:47,14
Pulau Ubin,Fair (Night),2024-03-15,00:44:47,1
Punggol,Fair (Night),2024-03-15,00:44:47,46
Queenstown,Fair (Night),2024-03-15,00:44:47,37
Seletar,Fair (Night),2024-03-15,00:44:47,21
Sembawang,Fair (Night),2024-03-15,00:44:47,39
Sengkang,Fair (Night),2024-03-15,00:44:47,51
Sentosa,Fair (Night),2024-03-15,00:44:47,4
Serangoon,Fair (Night),2024-03-15,00:44:47,49
Sungei Kadut,Fair (Night),2024-03-15,00:44:47,31
Tampines,Fair (Night),2024-03-15,00:44:47,61
Tanglin,Fair (Night),2024-03-15,00:44:47,12
Tengah,Fair (Night),2024-03-15,00:44:47,6
Toa Payoh,Fair (Night),2024-03-15,00:44:47,40
Tuas,Fair (Night),2024-03-15,00:44:47,1
Woodlands,Fair (Night),2024-03-15,00:44:47,77
Yishun,Fair (Night),2024-03-15,00:44:47,60
Ang Mo Kio,Fair (Night),2024-03-15,00:59:47,23
Bedok,Fair (Night),2024-03-15,00:59:47,41
