,AREA,FORECAST,timestamp,update_timestamp,valid_start,valid_end
0,Ang Mo Kio,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
1,Bedok,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
2,Bishan,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
3,Boon Lay,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
4,Bukit Batok,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
5,Bukit Merah,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
6,Bukit Panjang,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
7,Bukit Timah,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
8,Central Water Catchment,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
9,Changi,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
10,Choa Chu Kang,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
11,Clementi,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
12,City,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
13,Geylang,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
14,Hougang,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
15,Jalan Bahar,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
16,Jurong East,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
17,Jurong Island,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
18,Jurong West,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
19,Kallang,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
20,Lim Chu Kang,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
21,Mandai,Fair & Warm,2024-03-14T13:00:00+08:00,2024-03-14T13:08:07+08:00,2024-03-14T13:00:00+08:00,2024-03-14T15:00:00+08:00
